step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,97,1,0.23872815817889204,0.0,0.0,0.07939149526051055,0.0,0.0,,,,,,
2,354,2,0.10258685756543627,0.0,0.0,,,,,,,,,
3,539,3,0.10537555420080658,0.0,0.0,,,,,,,,,
4,740,4,0.09047393161847139,0.0,0.0,,,,,,,,,
5,885,5,0.09633843731474877,0.0,0.0,,,,,,,,,
6,1102,6,0.07255417747692262,0.0,0.0,,,,,,,,,
7,2391,7,0.022378521181074258,0.0,0.0,,,,,,,,,
8,3040,8,0.03113351009327564,0.0,0.0,,,,,,,,,
9,3337,9,0.04669878843331587,0.0,0.0,0.03841414257229371,0.0,0.0,,,,,,
10,4026,10,0.021982223046736898,0.0,0.0,,,,,,,,,
11,4203,11,0.03842820988643284,1.0,1.0,,,,,,,,,
12,4492,12,0.033706090264798455,1.0,1.0,,,,,,,,,
13,4893,13,0.02392364705565997,1.0,1.0,,,,,,,,,
14,5510,14,0.02881173210582324,1.0,1.0,,,,,,,,,
15,5687,15,0.041121437801325975,0.0,0.0,,,,,,,,,
16,6056,16,0.03992338999481944,1.0,1.0,,,,,,,,,
17,6465,17,0.03408171522147598,1.0,1.0,0.025459983938200825,1.0,1.0,,,,,,
18,6642,18,0.03399415811068882,1.0,1.0,,,,,,,,,
19,7899,19,0.014168940923959868,1.0,1.0,,,,,,,,,
20,8572,20,0.028043064280634664,1.0,1.0,,,,,,,,,
21,9157,21,0.02659858304716131,1.0,1.0,,,,,,,,,
22,9422,22,0.024252157893272605,1.0,1.0,,,,,,,,,
23,9783,23,0.028323798117265854,1.0,1.0,,,,,,,,,
24,10024,24,0.019821464503717533,1.0,1.0,,,,,,,,,
25,10409,25,0.022359186734365533,1.0,1.0,0.025785548075192836,1.0,1.0,,,,,,
26,10738,26,0.03641876613402352,0.0,0.0,,,,,,,,,
27,11139,27,0.0324215580123222,1.0,1.0,,,,,,,,,
28,11484,28,0.027610651021138632,1.0,1.0,,,,,,,,,
29,11821,29,0.022392702523948607,1.0,1.0,,,,,,,,,
30,12142,30,0.027834826630897626,1.0,1.0,,,,,,,,,
31,12263,31,0.03410595662810374,1.0,1.0,,,,,,,,,
32,12472,32,0.02900834206700473,1.0,1.0,,,,,,,,,
33,12673,33,0.026807228194980423,1.0,1.0,0.04326512519819237,0.0,0.0,,,,,,
34,12794,34,0.02923471578969717,1.0,1.0,,,,,,,,,
35,12939,35,0.03848069753700858,0.0,0.0,,,,,,,,,
36,13100,36,0.029662659471228838,1.0,1.0,,,,,,,,,
37,13773,37,0.023997482189640124,1.0,1.0,,,,,,,,,
38,13942,38,0.027021826631081197,1.0,1.0,,,,,,,,,
39,14567,39,0.023626656035268336,1.0,1.0,,,,,,,,,
40,14672,40,0.027154140867910778,1.0,1.0,,,,,,,,,
41,15433,41,0.0215692506989504,1.0,1.0,0.02125364320812239,1.0,1.0,,,,,,
42,15970,42,0.024547833532492198,1.0,1.0,,,,,,,,,
43,17131,43,0.021189836532380563,1.0,1.0,,,,,,,,,
44,17284,44,0.0279557001864075,1.0,1.0,,,,,,,,,
45,18293,45,0.025003595813031104,1.0,1.0,,,,,,,,,
46,18622,46,0.026669259204692233,1.0,1.0,,,,,,,,,
47,19167,47,0.026760195119589512,1.0,1.0,,,,,,,,,
48,19480,48,0.025007542425058392,1.0,1.0,,,,,,,,,
49,19657,49,0.023583804529563088,1.0,1.0,0.025057956851733953,1.0,1.0,,,,,,
50,19874,50,0.028207017471150148,1.0,1.0,,,,,,,,,
51,20491,51,0.027263806386803622,1.0,1.0,,,,,,,,,
52,20724,52,0.023705799528813166,1.0,1.0,,,,,,,,,
53,20821,53,0.02365194923245023,1.0,1.0,,,,,,,,,
54,22390,54,0.008763792312530458,1.0,1.0,,,,,,,,,
55,23159,55,0.02706540252384438,1.0,1.0,,,,,,,,,
56,23816,56,0.025067950898747526,1.0,1.0,,,,,,,,,
57,24377,57,0.02165349969770198,1.0,1.0,0.02751445406606184,1.0,1.0,,,,,,
58,24890,58,0.024272859559218034,1.0,1.0,,,,,,,,,
59,25947,59,0.025087873092683177,1.0,1.0,,,,,,,,,
60,26756,60,0.020729764475368343,1.0,1.0,,,,,,,,,
61,27341,61,0.025917393079450308,1.0,1.0,,,,,,,,,
62,27726,62,0.024941645286822526,1.0,1.0,,,,,,,,,
63,28663,63,0.023862236520165343,1.0,1.0,,,,,,,,,
64,28848,64,0.04121398391266785,0.0,0.0,,,,,,,,,
65,29129,65,0.025630167207092328,1.0,1.0,0.02234616526714684,1.0,1.0,,,,,,
66,29258,66,0.026113744577627926,1.0,1.0,,,,,,,,,
67,31251,67,0.015611752129283243,1.0,1.0,,,,,,,,,
68,32452,68,0.023645848000791135,1.0,1.0,,,,,,,,,
69,32725,69,0.026991915599574517,1.0,1.0,,,,,,,,,
70,33230,70,0.02609597975637833,1.0,1.0,,,,,,,,,
71,34007,71,0.02543540062034059,1.0,1.0,,,,,,,,,
72,34632,72,0.02319425670080235,1.0,1.0,,,,,,,,,
73,34801,73,0.03284853723154464,1.0,1.0,0.025120502213314272,1.0,1.0,,,,,,
74,35290,74,0.026525312852792297,1.0,1.0,,,,,,,,,
75,35499,75,0.06484154420616506,0.0,0.0,,,,,,,,,
76,35724,76,0.02766048339766972,1.0,1.0,,,,,,,,,
77,36685,77,0.025705782537731467,1.0,1.0,,,,,,,,,
78,37078,78,0.028754823126385658,1.0,1.0,,,,,,,,,
79,37367,79,0.025986815784427665,1.0,1.0,,,,,,,,,
80,37608,80,0.02640922988535385,1.0,1.0,,,,,,,,,
